source,destination,hamming_distance,fitts_ratio
18,23,5,6.071526891463758
18,24,6,5.935204250220395
18,27,6,5.651523677498809
18,38,12,5.054481682768679
18,39,13,6.581296144678046
18,40,14,5.230803138882596
18,41,15,5.193188230718199
18,42,16,5.154643545733563
18,43,17,6.449869468988713
18,44,18,4.8661891442994625
18,130,11,5.026584241680475
18,131,12,5.215671235363751
18,132,13,6.512399303375691
18,133,14,5.1612172568496435
18,134,15,6.455966911817525
18,135,16,4.871433434225305
18,137,13,5.294764908318763
18,138,14,5.258876213979861
18,139,15,6.557836746527753
18,140,16,5.207478693968978
18,141,17,5.169516869974789
18,142,18,6.465442275788296
18,143,19,5.115082782246733
18,144,20,4.841787747627486
18,100,8,5.02335206819798
18,101,9,5.2122297857566675
18,102,10,5.1731447581461065
18,103,11,6.468256742549378
18,104,12,5.116915126568958
18,105,13,5.07517987989143
18,106,14,5.032230318428016
18,107,15,4.98799568677427
18,108,16,6.275820921647313
18,109,17,4.924095471457735
18,110,18,4.876460647373577
18,111,19,4.827250553314202
18,112,20,4.776361653311148
18,113,21,6.054633738031256
18,114,22,4.702467015044622
18,115,23,4.647078716299129
18,116,24,5.9187974042286005
18,117,25,4.566377011284735
18,118,26,5.833704780462217
18,119,27,4.4811404758735724
18,120,28,5.743565699113309
18,121,29,4.3908684394749535
18,122,30,4.322632938937294
18,123,31,4.251264297349298
18,124,32,4.176494824319406
18,125,33,4.098028751004883
18,126,34,4.015541002240504
18,127,35,5.245861720365733
18,128,36,3.6654147662612577
18,67,4,5.792583918992113
18,47,10,5.022001662826101
18,48,11,5.210791653473987
18,49,12,6.5072444963527145
18,50,13,5.15594800366655
18,51,14,5.115270487699713
18,52,15,6.408167943099197
18,53,16,5.0566696020520325
18,54,17,6.347265751163849
18,55,18,4.995640579676115
18,56,19,6.283738181479112
18,57,20,4.9319789672805765
18,58,21,6.217354871665933
18,59,22,4.865454263260825
18,60,23,4.8157828194855385
18,61,24,6.09587080469958
18,62,25,4.743710503290212
18,63,26,6.020299063265884
18,64,27,4.436085286582337
18,69,9,5.019542615930078
18,70,10,5.208172416211582
18,71,11,6.504476827186529
18,72,12,5.15311839824631
18,73,13,5.112273906395324
18,74,14,5.070256942299557
18,75,15,5.026999391098367
18,76,16,6.316313911990915
18,77,17,4.964539541313422
18,78,18,4.9179998834754715
18,79,19,6.202660165803137
18,80,20,4.850621028327126
18,81,21,6.132221344639906
18,82,22,4.780014131422336
18,83,23,6.05824935510325
18,84,24,4.705863301220152
18,85,25,5.980381409636749
18,86,26,4.627805691513315
18,87,27,5.898197951523776
18,88,28,4.5454222385579035
18,89,29,4.483338513988873
18,90,30,5.745480469477844
