source,destination,hamming_distance,fitts_ratio
4,5,1,5.56358884992859
4,7,3,5.841867385758534
4,8,4,5.594091323262279
4,18,6,4.72917098742752
4,27,10,4.657496124323744
4,28,11,4.601112591307281
4,70,9,4.661782903473502
4,71,10,6.236734952555979
4,72,11,4.587499291313824
4,73,12,4.5287130663010045
4,74,13,4.467671514065604
4,75,14,4.404221778773049
4,76,15,5.9644032124805895
4,77,16,4.316626095709967
4,78,17,4.246947400822744
4,79,18,4.174281529809289
4,80,19,4.098440464672863
4,81,20,4.019239461160574
4,82,21,3.936508612219404
4,83,22,5.463651890330935
4,84,23,3.8218385757071167
4,85,24,3.7305141606748307
4,87,10,4.661782903473502
4,88,11,6.236734952555979
4,89,12,4.587499291313824
4,90,13,4.5287130663010045
4,91,14,4.467671514065604
4,92,15,4.404221778773049
4,93,16,5.9644032124805895
4,94,17,4.316626095709967
4,95,18,4.246947400822744
4,96,19,4.174281529809289
4,97,20,4.098440464672863
4,98,21,4.019239461160574
4,99,22,3.936508612219404
4,100,23,5.463651890330935
4,101,24,3.8218385757071167
4,102,25,3.7305141606748307
4,37,9,4.64192661084295
4,38,10,4.58423380592769
4,39,11,4.524257470793113
4,40,12,4.461822018191362
4,41,13,4.396733008647908
4,42,14,5.955374762289241
4,43,15,4.306512210941083
4,44,16,4.2344030630202525
4,45,17,5.781959221866914
4,46,18,4.1340117351031305
4,67,11,4.693185726036654
4,51,8,4.64192661084295
4,52,9,4.58423380592769
4,53,10,4.524257470793113
4,54,11,4.461822018191362
4,55,12,4.396733008647908
4,56,13,5.955374762289241
4,57,14,4.306512210941083
4,58,15,4.2344030630202525
4,59,16,5.781959221866914
4,60,17,4.1340117351031305
4,48,12,4.693185726036654
4,32,13,4.743282708454266
4,33,14,4.693574798539046
4,34,15,6.27271452859567
4,35,16,4.625987183696655
4,104,11,4.657496124323744
4,105,12,4.601112591307281
4,62,12,4.743282708454266
4,63,13,4.693574798539046
4,64,14,6.27271452859567
4,65,15,4.625987183696655
5,4,1,5.56358884992859
5,7,3,4.984742874044658
5,8,4,1.271553303163612
5,18,6,5.487093982850768
5,27,10,5.281617433761647
5,28,11,5.25876751731765
5,70,9,5.2730060156564145
5,71,10,6.883865058705671
5,72,11,5.242569401614548
5,73,12,5.219817220963103
5,74,13,5.19741585370431
5,75,14,5.1754231546245855
5,76,15,6.785502629972118
5,77,16,5.147161702836479
5,78,17,5.126359171902522
5,79,18,5.10618298797746
5,80,19,5.086705621316442
5,81,20,5.068002043108774
5,82,21,5.050149167470848
5,83,22,6.660725741420604
5,84,23,5.028047814441225
5,85,24,5.01246839057708
5,87,10,5.2730060156564145
5,88,11,6.883865058705671
5,89,12,5.242569401614548
5,90,13,5.219817220963103
5,91,14,5.19741585370431
5,92,15,5.1754231546245855
5,93,16,6.785502629972118
5,94,17,5.147161702836479
5,95,18,5.126359171902522
5,96,19,5.10618298797746
5,97,20,5.086705621316442
5,98,21,5.068002043108774
5,99,22,5.050149167470848
5,100,23,6.660725741420604
5,101,24,5.028047814441225
5,102,25,5.01246839057708
5,37,9,5.316528189021321
5,38,10,5.294788499315684
5,39,11,5.273354883412674
5,40,12,5.252276445042192
5,41,13,5.231605355621766
5,42,14,6.8436382293237585
5,43,15,5.205073085031046
5,44,16,5.185563223769518
5,45,17,6.797579829542663
5,46,18,5.160774128559628
5,67,11,5.217630736434849
