source,destination,hamming_distance,fitts_ratio
9,10,1,1.0255350921071376
9,11,2,1.6189459856657915
9,12,3,3.666416774412343
9,13,4,4.623233805740669
9,17,8,1.0728487195364462
9,19,10,1.7177481261296594
9,20,11,2.553845087374487
9,21,12,3.097836914386673
9,22,13,3.3802516183287397
9,23,14,3.6012391949696423
9,25,16,5.008008822941466
9,29,15,1.1674917079326168
9,30,16,2.634214732118345
9,31,17,2.6526669371917033
9,32,18,3.035413469559771
9,34,16,2.5799516779846003
9,35,17,2.994051655537409
9,37,17,2.7932396526659455
9,39,19,4.321681346565122
9,40,20,5.320013668719229
9,42,20,4.356434820019174
9,43,21,5.369504653665699
9,45,21,4.3948064667965845
9,46,22,5.421927124782054
9,48,18,3.2602713583004195
9,49,19,4.041445871564958
9,50,10,5.736226966244872
9,71,4,3.769533231199416
9,77,9,4.659186024848541
9,78,10,4.586635344847242
9,79,11,4.788501456238383
9,80,12,4.249461599294839
9,82,14,4.898977106478284
9,83,14,4.733797125893756
9,85,10,4.3651373565803375
9,86,11,4.36624157654303
9,87,12,4.370894191233659
9,88,13,4.3790254640907875
9,89,14,4.3905160832302546
9,96,15,3.213780196955262
9,97,16,3.3511889936360624
9,98,17,3.4784353491718862
9,99,18,3.596595096641319
9,103,16,3.9144543580038786
9,104,17,4.004261877089831
9,105,18,4.089133316726865
9,106,19,4.16954530877742
9,107,20,4.245915212474868
9,108,21,4.318608985690658
9,109,22,4.387948281123055
9,110,23,4.45421664818305
9,111,24,4.517664864583428
9,112,25,4.5785154803529355
9,113,26,3.6947660242963836
9,119,13,4.920884732878628
9,120,14,5.072592867284269
9,121,13,3.879942262955784
9,122,14,4.832675980528773
9,123,15,4.850725008460836
9,124,16,5.262041794634839
9,125,17,5.273980607273302
9,126,18,5.672079188718848
9,127,19,5.287212494842878
9,132,23,1.8525803605459614
9,135,22,5.950486579397764
9,139,7,5.444858412849304
9,141,7,4.797510607793731
9,144,10,0.5894062180210627
9,214,10,1.5974354351658469
9,215,11,1.6856461538796585
9,217,16,1.8638521676494832
9,219,17,3.0447117447394114
9,220,18,3.1027954252582015
9,202,19,3.1897874861804687
9,221,20,2.574312512058386
9,222,21,2.7053141433657597
9,224,9,3.813909667114764
9,225,19,3.87396419650971
9,226,20,3.897615018493641
9,227,21,4.110089854561806
9,228,22,4.0967716594544035
9,230,9,3.461543637631487
9,231,10,4.8891352277777385
9,233,10,3.5693786637238993
9,235,11,3.6840561542359405
9,237,12,4.728594117259074
9,238,13,4.757350135117564
9,240,13,5.188186664569093
9,241,14,4.997009792277726
9,242,15,4.997234762655004
9,244,14,4.213971999339487
9,246,15,4.236277275649424
9,203,4,1.5974354351658469
9,292,5,1.6856461538796585
9,294,5,1.8638521676494832
9,296,6,3.0447117447394114
9,297,7,3.1027954252582015
9,205,8,3.1897874861804687
9,298,10,2.7053141433657597
9,300,7,3.813909667114764
9,301,8,3.87396419650971
9,302,9,3.897615018493641
9,303,10,4.110089854561806
9,304,11,4.0967716594544035
9,305,8,3.461543637631487
9,306,9,4.8891352277777385
9,308,9,3.5693786637238993
9,310,10,3.6840561542359405
9,312,11,4.728594117259074
9,313,12,4.757350135117564
9,315,12,5.188186664569093
9,316,13,4.997009792277726
9,317,14,4.997234762655004
9,319,13,4.213971999339487
9,321,14,4.236277275649424
9,150,13,1.5974354351658469
9,151,14,1.3078187936221104
9,153,14,2.004626741367228
9,154,15,3.26097349742452
9,155,16,3.3205365586061477
9,156,17,3.3926146858977706
9,158,16,2.787019218812367
9,159,17,2.771325422500745
9,160,18,4.497104687277456
9,161,20,4.551701650721214
9,163,16,3.6894391439983303
9,165,17,4.092260267295871
9,166,18,5.0939509726013865
9,167,19,5.087049507149715
9,168,20,5.083299081318398
9,194,5,1.5101201143448357
9,195,6,1.6047173432133617
9,196,7,1.9746087283522404
9,198,10,3.3142067750200126
9,199,11,3.398898697480945
9,201,8,2.786402127505231
9,171,4,1.5974354351658469
9,172,5,1.3078187936221104
9,174,5,2.004626741367228
9,175,6,3.26097349742452
9,176,7,3.3205365586061477
9,177,8,3.3926146858977706
9,179,6,2.7709334718937315
9,180,7,2.787019218812367
9,181,8,2.771325422500745
9,182,9,4.497104687277456
9,183,10,4.448270278135462
9,184,11,4.551701650721214
9,186,7,3.6894391439983303
9,188,8,4.092260267295871
9,189,9,5.0939509726013865
9,190,10,5.087049507149715
9,191,11,5.083299081318398
9,249,14,1.5974354351658469
9,250,15,1.5865522373397198
9,251,16,1.8461943646281598
9,253,15,1.8686491304342232
9,204,11,4.33218755320641
9,207,9,4.685619927026987
9,208,10,4.704769521649694
9,209,11,4.690296035464698
9,211,10,4.979747718199604
9,212,11,4.997243042412831
9,213,12,4.966147969949698
9,322,4,2.6602488391782244
9,326,19,4.514876587560477
9,327,20,4.526269946837051
9,328,21,4.540272131508959
9,256,16,1.5974354351658469
9,257,17,1.6856461538796585
9,259,17,1.8638521676494832
9,261,18,3.0447117447394114
9,262,19,3.1027954252582015
9,263,20,3.1897874861804687
9,264,21,2.574312512058386
9,265,22,2.7053141433657597
9,267,19,3.813909667114764
9,268,20,3.87396419650971
9,269,21,3.897615018493641
9,270,22,4.110089854561806
9,271,23,4.0967716594544035
9,273,20,3.461543637631487
9,274,21,4.8891352277777385
9,276,21,3.5693786637238993
9,278,22,3.6840561542359405
9,280,23,4.728594117259074
9,281,24,4.757350135117564
9,283,24,5.188186664569093
9,284,25,4.997009792277726
9,285,26,4.997234762655004
9,287,25,4.213971999339487
9,289,26,4.236277275649424
10,9,1,1.0255350921071376
10,11,1,1.0256441765977284
10,12,3,3.5629413753493577
10,13,4,4.567405523405358
10,17,8,1.3089651284969737
10,19,10,1.3269276500104101
10,20,11,2.3031614099684647
10,21,12,2.927156882947259
10,22,13,3.240778392696707
10,23,14,3.482139042858102
10,25,16,4.929590006117035
10,29,15,1.172179273000471
10,30,16,2.373163061928319
10,31,17,2.4526053674616026
10,32,18,2.867310321994887
10,34,16,2.4432003600515357
10,35,17,2.869786289197477
10,37,17,2.690717434940675
10,39,19,4.228770290419888
10,40,20,5.237792792151124
10,42,20,4.2666154929695645
10,43,21,5.290628398256083
10,45,21,4.308362910021807
10,46,22,5.3464945588058
10,48,18,3.1962793101206435
10,49,19,3.980212920969901
10,50,10,5.68984119333906
10,71,4,3.642186117609516
10,77,9,4.5518655428891766
10,78,10,4.494926502109394
10,79,11,4.7071706470741645
10,80,12,4.153288027420587
10,82,14,4.817006603344938
10,83,14,4.658980491777887
10,85,10,4.366456758226448
10,86,11,4.365097888076017
10,87,12,4.3673047209647695
10,88,13,4.373043918145176
10,89,14,4.382229914981801
10,96,15,3.1503829303395294
10,97,16,3.2998182303655628
10,98,17,3.4360461508032802
10,99,18,3.561067256884848
10,103,16,3.8891960545884547
10,104,17,3.9821054425317937
10,105,18,4.069547181279012
10,106,19,4.152111433680735
10,107,20,4.230300646724351
10,108,21,4.304545474274045
10,109,22,4.375217414072403
10,110,23,4.442638886569281
10,111,24,4.507091321708545
10,112,25,4.56882168951098
10,113,26,3.6865525680989775
10,119,13,4.852960124074634
10,120,14,5.011079615464817
10,121,13,3.817281771606466
10,122,14,4.770576863457441
10,123,15,4.790257061819059
10,124,16,5.210827715004404
10,125,17,5.223649344421292
10,126,18,5.6124473333385465
10,127,19,5.237841152132356
10,132,23,1.8257248703848508
10,135,22,5.916485312833412
10,139,7,5.405690930514812
10,141,7,4.725580559516552
10,144,10,1.4954187618976729
10,214,10,1.6649285441276802
10,215,11,1.6017547186685057
10,217,16,1.690587290253183
10,219,17,2.81945138791464
10,220,18,2.9104335777046693
10,202,19,3.023808639510026
10,221,20,2.4154266493821313
10,222,21,2.565930852325099
10,224,9,3.6817729059814583
