source,destination,hamming_distance,fitts_ratio
4,5,1,1.0
4,6,2,1.5849625007211563
4,10,3,2.0
4,11,4,4.078951341394822
4,13,6,2.6386004643232295
4,14,7,4.738767836800192
4,15,8,2.8981203859807865
4,16,9,3.079727192470734
4,17,10,5.189824558880018
4,18,11,3.2752780015885414
4,19,12,3.417085327927703
4,20,13,3.546192930556581
4,21,14,5.663913842115979
4,22,15,3.690315500867385
4,23,16,3.797956224055355
4,24,17,5.918863237274595
4,25,18,3.919946748433965
4,26,19,6.04220656012069
4,27,20,4.0324214776923775
4,28,21,4.117997209398451
4,29,22,6.24222139509837
4,30,23,4.216525414304451
4,31,24,6.3416300093299105
4,32,25,4.308752706139629
4,38,7,2.9431784676727473
4,39,8,3.327997453489358
4,40,9,3.6499015452089165
4,41,10,3.9300316074438637
4,42,11,4.194558804954455
4,43,12,4.4465276135638465
4,44,13,2.954334188232066
4,47,5,5.015918808454311
4,48,4,5.235927008469877
4,50,6,5.404542145452521
4,52,8,4.868643743275443
4,59,9,5.289955089092428
4,60,10,5.469072653167362
4,63,10,5.499530944316443
4,66,11,2.9033877458976316
4,68,13,3.164039000517358
4,69,13,2.2690180194975773
4,71,15,2.3286901755504554
4,73,16,1.9151005940273587
4,75,17,1.4429434958487284
4,78,19,1.3858389032231218
4,81,20,2.1138766378725795
4,82,19,2.6705496703767997
4,83,20,3.402597938145061
4,87,22,5.040033243433905
4,90,13,5.095280910074727
4,91,13,5.226105268172162
4,93,13,5.105685902807596
4,95,14,5.283983855058436
4,97,15,1.7463078431056254
4,98,16,2.876629504568708
4,99,17,4.105647436603265
4,101,19,4.924686962490232
4,103,20,4.98825235732943
4,105,21,5.049160417905915
4,106,21,5.1810533555603335
4,110,15,3.6341141357339217
4,111,16,3.3122869569926747
4,112,17,3.1759649458845196
4,117,20,7.070567943103621
4,123,23,5.408549827014125
4,124,24,5.331636123468447
4,125,25,5.453436463232107
4,126,26,5.626900835657537
4,127,23,5.58476813960048
4,128,24,5.8049602157053055
4,132,26,5.210168399850018
4,133,27,5.1871050294301035
4,135,29,5.000262538750232
4,136,30,5.892834912395639
4,137,31,5.110090011213287
4,138,32,5.541375274565015
4,140,30,5.808666782937386
4,142,31,5.873558111620913
4,144,32,5.938802115842086
4,146,33,6.003403012980994
4,148,16,2.8484456228894643
4,149,17,2.7152489225297254
4,150,18,2.740034813029278
4,152,17,3.091424129308301
