source,destination,hamming_distance,fitts_ratio
4,5,1,6.532756984257147
4,7,3,6.816492097264208
4,8,4,6.563911278281203
4,18,1,5.673724893259445
4,27,1,5.599167976825904
4,28,1,5.540410139968538
4,70,1,5.60363134835118
4,71,2,7.217476307297893
4,72,1,5.5262089407713075
4,73,1,5.464816433824618
4,74,1,5.400948522745416
4,75,1,5.334425097966811
4,76,2,6.941110965772503
4,77,1,5.242345921190166
4,78,1,5.168890418591974
4,79,1,5.092075226766218
4,80,1,5.011660959326866
4,81,1,4.927403610678077
4,82,1,4.839065424948015
4,83,2,6.430583025508909
4,84,1,4.71603149944895
4,85,1,4.617515075617282
4,87,1,5.60363134835118
4,88,2,7.217476307297893
4,89,1,5.5262089407713075
4,90,1,5.464816433824618
4,91,1,5.400948522745416
4,92,1,5.334425097966811
4,93,2,6.941110965772503
4,94,1,5.242345921190166
4,95,1,5.168890418591974
4,96,1,5.092075226766218
4,97,1,5.011660959326866
4,98,1,4.927403610678077
4,99,1,4.839065424948015
4,100,2,6.430583025508909
4,101,1,4.71603149944895
4,102,1,4.617515075617282
4,37,1,5.582952466633708
4,38,2,5.522801570530541
4,39,1,5.460158739714058
4,40,1,5.3948215521510265
4,41,2,5.3265641056903466
4,42,3,6.931935100331581
4,43,1,5.231695686113813
4,44,1,5.15564546228389
4,45,2,6.755498110162976
4,46,1,5.0494089289642785
4,67,1,5.636311277958258
4,51,1,5.582952466633708
4,52,2,5.522801570530541
4,53,1,5.460158739714058
4,54,1,5.3948215521510265
4,55,2,5.3265641056903466
4,56,3,6.931935100331581
4,57,1,5.231695686113813
4,58,1,5.15564546228389
4,59,2,6.755498110162976
4,60,1,5.0494089289642785
4,48,1,5.636311277958258
4,32,1,5.688386716638931
4,33,1,5.636715992769625
4,34,2,7.253933339055159
4,35,1,5.566344128149999
4,104,1,5.599167976825904
4,105,1,5.540410139968538
4,62,1,5.688386716638931
4,63,1,5.636715992769625
4,64,2,7.253933339055159
4,65,1,5.566344128149999
5,4,1,6.532756984257147
5,7,3,5.938444322586721
5,8,4,1.5000000000000002
5,18,1,6.454564160823912
5,27,1,6.244042994528062
5,28,1,6.220585215152631
5,70,1,6.235203651648311
5,71,2,7.871597168991588
5,72,1,6.20395016342152
5,73,1,6.180575681568537
5,74,1,6.157551676243277
5,75,1,6.134937952741224
5,76,2,7.772365194611693
5,77,1,6.10586403135769
5,78,1,6.084452910996739
5,79,1,6.063677768620547
5,80,1,6.043613947160534
5,81,1,6.024339482483472
5,82,1,6.005934523968326
5,83,2,7.646395568915603
5,84,1,5.983139876697849
5,85,1,5.967065118515767
5,87,1,6.235203651648311
5,88,2,7.871597168991588
5,89,1,6.20395016342152
5,90,1,6.180575681568537
5,91,1,6.157551676243277
5,92,1,6.134937952741224
5,93,2,7.772365194611693
5,94,1,6.10586403135769
5,95,1,6.084452910996739
5,96,1,6.063677768620547
5,97,1,6.043613947160534
5,98,1,6.024339482483472
5,99,1,6.005934523968326
5,100,2,7.646395568915603
5,101,1,5.983139876697849
5,102,1,5.967065118515767
5,37,1,6.279863587756982
5,38,2,6.257559978487085
5,39,1,6.235561780313146
5,40,1,6.213919654166684
5,41,2,6.1926874952922
5,42,3,7.831021937973483
5,43,1,6.165422856336737
5,44,1,6.145365564322431
5,45,2,7.784552408215626
5,46,1,6.1198698357636765
5,67,1,6.178328861118045
5,51,1,6.279863587756982
5,52,2,6.257559978487085
5,53,1,6.235561780313146
5,54,1,6.213919654166684
5,55,2,6.1926874952922
5,56,3,7.831021937973483
5,57,1,6.165422856336737
5,58,1,6.145365564322431
5,59,2,7.784552408215626
5,60,1,6.1198698357636765
5,48,1,6.178328861118045
5,32,1,6.103432132453897
5,33,1,6.074824359545491
5,34,2,7.7081190491653455
5,35,1,6.0373395869784225
5,104,1,6.244042994528062
5,105,1,6.220585215152631
5,62,1,6.103432132453897
5,63,1,6.074824359545491
5,64,2,7.7081190491653455
5,65,1,6.0373395869784225
7,4,3,6.816492097264208
7,5,4,5.938444322586721
7,8,1,5.889817082249578
7,18,1,6.188966565636255
7,27,1,5.931844365029378
7,28,1,5.932934522334378
7,70,1,5.917811942341694
7,71,2,7.570444223231373
7,72,1,5.919607181975789
7,73,1,5.922785928967717
7,74,1,5.92751023600882
7,75,1,5.933749863886615
7,76,2,7.590748871550091
7,77,1,5.944222648929723
7,78,1,5.9538104279251645
7,79,1,5.9647533925809
7,80,1,5.9769888468250345
7,81,1,5.990449295079136
7,82,1,6.005063548824874
7,83,2,7.667367518098984
7,84,1,6.025965739230249
7,85,1,6.042968357975105
7,87,1,5.917811942341694
7,88,2,7.570444223231373
7,89,1,5.919607181975789
7,90,1,5.922785928967717
7,91,1,5.92751023600882
7,92,1,5.933749863886615
7,93,2,7.590748871550091
7,94,1,5.944222648929723
7,95,1,5.9538104279251645
7,96,1,5.9647533925809
7,97,1,5.9769888468250345
7,98,1,5.990449295079136
7,99,1,6.005063548824874
7,100,2,7.667367518098984
7,101,1,6.025965739230249
7,102,1,6.042968357975105
7,37,1,5.987681588819904
7,38,2,5.988690600617109
7,39,1,5.991125936068334
7,40,1,5.994973208380108
7,41,2,6.000209919050529
7,42,3,7.65648343003474
7,43,1,6.009183802069056
7,44,1,6.0175134890490245
7,45,2,7.67577387360477
7,46,1,6.0304152952800525
7,67,1,5.824851705011836
7,51,1,5.987681588819904
7,52,2,5.988690600617109
7,53,1,5.991125936068334
7,54,1,5.994973208380108
7,55,2,6.000209919050529
7,56,3,7.65648343003474
7,57,1,6.009183802069056
7,58,1,6.0175134890490245
7,59,2,7.67577387360477
7,60,1,6.0304152952800525
7,48,1,5.824851705011836
7,32,1,5.694165449977779
7,33,1,5.695680608797201
7,34,2,7.34992619008709
7,35,1,5.700938913352482
7,104,1,5.931844365029378
7,105,1,5.932934522334378
7,62,1,5.694165449977779
7,63,1,5.695680608797201
7,64,2,7.34992619008709
7,65,1,5.700938913352482
8,4,3,6.563911278281203
8,5,4,1.5000000000000002
8,7,1,5.889817082249578
8,18,1,6.460860927406542
8,27,1,6.2494910342012036
8,28,1,6.227007817669642
8,70,1,6.240488178572595
8,71,2,7.877522550450164
8,72,1,6.210540398357013
8,73,1,6.188221079976762
8,74,1,6.166308719845868
8,75,1,6.144863286413529
8,76,2,7.783091349415521
8,77,1,6.117415208918694
8,78,1,6.097301169629594
8,79,1,6.0778759568209875
8,80,1,6.059212151800647
8,81,1,6.04138414957572
8,82,1,6.024467523243695
8,83,2,7.665929757749932
8,84,1,6.003689228668666
8,85,1,5.989176848447393
8,87,1,6.240488178572595
8,88,2,7.877522550450164
8,89,1,6.210540398357013
8,90,1,6.188221079976762
8,91,1,6.166308719845868
8,92,1,6.144863286413529
8,93,2,7.783091349415521
8,94,1,6.117415208918694
8,95,1,6.097301169629594
8,96,1,6.0778759568209875
8,97,1,6.059212151800647
8,98,1,6.04138414957572
8,99,1,6.024467523243695
8,100,2,7.665929757749932
8,101,1,6.003689228668666
8,102,1,5.989176848447393
8,37,1,6.285931401313426
