source,destination,hamming_distance_ups,hamming_distance_downs,hamming_distance_LR,hamming_distance_total,fitts_ratio,normalized_fitts_ratio
0,1,0,1,3,4,1.1614040976895261,0.7943344322220799
0,2,0,2,4,6,3.4232325263972285,2.3412966000631505
0,3,0,2,5,7,3.610915531187356,2.4696611144852048
0,4,0,2,6,8,3.7727091687127294,2.5803187722776424
0,5,0,1,0,1,0.5939246123705618,0.40621069848869
0,6,0,1,1,2,1.0385170520494775,0.7102866732894852
0,7,0,2,2,4,0.4462997547326014,0.30524368131783935
0,8,0,1,6,7,3.8096061704005204,2.605554225592018
0,9,0,1,7,8,6.51627976733449,4.456765220204672
0,10,0,1,8,9,6.121294047580841,4.186617424049558
0,11,0,1,10,11,0.05849614480133854,0.04000804031980716
0,12,0,1,11,12,0.00018331819388100494,0.00012537923169216524
0,13,0,1,9,10,0.0034697022857740544,0.002373079275880741
0,14,0,3,28,31,0.15886780985797688,0.1086565578621167
0,15,0,2,10,12,0.2378436836977153,0.1626715695454158
0,16,0,3,4,7,8.253391558760692,5.6448510133354635
0,17,0,3,6,9,8.337989332908892,5.702711085492043
0,18,0,1,2,3,0.2867428347617378,0.19611581128165048
0,19,0,2,9,11,0.024856349070270563,0.01700033086255336
0,20,0,2,28,30,0.006071486805931985,0.004152552099935067
0,21,0,2,29,31,0.412076786994975,0.281837115333698
0,22,0,3,32,35,0.7294027450267835,0.4988700457357631
0,23,0,3,33,36,1.2793945135867109,0.8750331745511191
0,24,0,3,30,33,0.7302143006398981,0.49942510367678683
0,25,0,3,31,34,0.5882250840238796,0.4023125448467301
0,26,0,4,28,32,0.6058317412990442,0.41435449832168275
0,27,0,3,36,39,0.722638184834261,0.4942434708076661
0,28,0,3,35,38,0.6429243964214524,0.43972376747174224
0,29,0,2,11,13,0.6248727371377982,0.42737745790018683
0,30,0,3,29,32,2.0453146374827362,1.3988790331568761
0,31,0,3,17,20,1.0073281676977517,0.688955247997932
0,32,0,2,12,14,0.9067456781169903,0.6201625384564714
0,33,0,2,13,15,0.8397181256899514,0.5743194999255357
0,34,0,4,15,19,1.716774116782856,1.174175978904479
0,35,0,1,12,13,0.43339459045682865,0.29641728199815226
0,36,0,2,10,12,0.9661775995241347,0.6608105968202466
0,37,0,3,11,14,1.226302955474551,0.8387215645329479
0,38,0,3,40,43,1.1397328414709014,0.7795125239489766
0,39,0,3,38,41,0.6145264411834371,0.4203011791623568
0,40,0,3,18,21,1.565047778130353,1.0704037816938494
0,41,0,1,13,14,1.0532947940952597,0.7203938094368548
0,42,0,2,7,9,1.634458334323403,1.1178766594402856
0,43,0,3,34,37,0.45541358521478986,0.311477023679761
0,44,0,2,12,14,0.8637613302786685,0.5907636861513048
0,45,0,2,15,17,1.0871738913086948,0.7435651875151371
0,46,0,2,16,18,0.4394946593026536,0.3005893825898442
0,47,0,2,20,22,1.745108782833661,1.1935552810047936
0,48,0,4,29,33,0.5776884338718684,0.3951060746502922
0,49,0,3,37,40,1.4620464149225068,0.99995669998941
0,50,0,2,18,20,1.3698982907155617,0.9369326172710272
0,51,0,2,11,13,1.0975687304472352,0.7506746670335741
0,52,0,3,39,42,1.0921172098268577,0.7469461365889604
0,53,0,3,10,13,1.3798070586815334,0.9437096517174602
0,54,0,4,16,20,1.4823460863277023,1.0138405221595046
0,55,0,3,16,19,2.0431413687977056,1.3973926408232997
0,56,0,2,14,16,1.1337888123481892,0.7754471456644553
0,57,0,1,14,15,1.968016260095429,1.3460113337611326
0,58,0,3,9,12,2.343552551595868,1.6028568257662166
0,59,0,3,2,5,0.787098186584568,0.5383304505188848
0,60,0,3,15,18,0.7878083908831303,0.5388161899177576
0,61,0,2,17,19,0.892635513020769,0.6105119870225959
0,62,0,3,16,19,0.5908461504941189,0.40410520542937817
0,63,0,3,3,6,0.897622994812592,0.6139231412670204
0,64,0,2,27,29,1.2807618688126967,0.8759683678565673
0,65,0,2,26,28,1.0972756374142691,0.7504742080474275
0,66,0,2,25,27,1.254029299902022,0.85768480919706
0,67,0,2,24,26,1.1318034972971855,0.7740893029403266
0,68,0,2,23,25,1.3867357043013582,0.9484484517573778
0,69,0,2,22,24,1.5118727221131738,1.0340350638515305
0,70,0,3,14,17,1.6448954382786456,1.1250150456926018
0,71,0,3,13,16,1.7852133784064375,1.2209845463373097
0,72,0,3,12,15,1.9533447098644816,1.3359768267831549
0,73,0,2,21,23,1.7338798137349396,1.1858753039742178
0,74,0,2,19,21,1.5933075741453944,1.089731876942503
0,75,0,1,5,6,0.17842613537419097,0.12203334155441056
0,76,0,1,4,5,2.1800769187100597,1.4910487786886977
0,77,0,2,3,5,1.2953029479796427,0.885913640037844
0,78,0,2,13,15,4.3598359985945025,2.9818801736746976
1,0,1,0,0,1,0.0007509390541232015,0.0005135996578426042
1,2,0,1,1,2,4.2743111968552,2.923386067303242
